year,pop_name,state_name,reg,relative_PWE_enhancement
2001,White,Colorado,West,1.0172091420412
2015,Native,Colorado,West,0.967052619919321
2001,Black,Colorado,West,1.00539167920516
2006,Hispanic,Colorado,West,0.836613234893049
1999,Asian,Colorado,West,0.670134450435084
2012,Hispanic,Colorado,West,0.865683378065985
2006,Pacific,Colorado,West,0.630825456057611
2009,Pacific,Colorado,West,0.64489699231653
2015,Hispanic,Colorado,West,0.918855537872768
2011,Native,Colorado,West,0.84757506460219
2007,Asian,Colorado,West,0.677723288773671
2015,Asian,Colorado,West,0.720855360760707
2020,Native,Colorado,West,0.946771541912561
2006,Asian,Colorado,West,0.682292324144173
2012,Asian,Colorado,West,0.722089134439458
2012,Black,Colorado,West,0.949306530391699
2005,Black,Colorado,West,0.985730849487682
2006,Native,Colorado,West,0.819325424895132
2009,Native,Colorado,West,0.828702909317825
2020,White,Colorado,West,1.02784637918787
2009,White,Colorado,West,1.01954880194448
2009,Hispanic,Colorado,West,0.856910767457644
2008,Pacific,Colorado,West,0.635206809957162
2017,Pacific,Colorado,West,0.735992742349425
2015,White,Connecticut,Northeast,0.955714663321026
2007,White,Connecticut,Northeast,0.974785067439992
2008,Hispanic,Connecticut,Northeast,0.950730998269804
2007,Hispanic,Connecticut,Northeast,0.876158223840779
2018,Black,Connecticut,Northeast,1.0904381619757
2010,Hispanic,Connecticut,Northeast,0.976092286314518
2000,Asian,Connecticut,Northeast,1.05815805239322
2013,Pacific,Connecticut,Northeast,0.904601477759656
2002,Black,Connecticut,Northeast,1.05891763149532
2012,Native,Connecticut,Northeast,0.87008225143976
2009,White,Connecticut,Northeast,0.967466509707633
2005,Native,Connecticut,Northeast,0.827969728579784
1999,White,Connecticut,Northeast,0.990936331015237
2011,Asian,Connecticut,Northeast,1.14856348964962
2010,Asian,Connecticut,Northeast,1.16102205514182
2017,White,Connecticut,Northeast,0.970063045377617
2012,Pacific,Connecticut,Northeast,0.879417539070697
2010,Black,Connecticut,Northeast,1.10008888521469
2018,Native,Connecticut,Northeast,0.937275495331833
2000,Hispanic,Connecticut,Northeast,0.917655092228325
2006,Hispanic,Connecticut,Northeast,0.937029913580555
2016,Asian,Connecticut,Northeast,1.17827155449235
2002,Hispanic,Connecticut,Northeast,0.972460937653698
2019,Asian,Connecticut,Northeast,1.20918220632854
2013,Native,Connecticut,Northeast,0.89318479669103
2002,Native,Connecticut,Northeast,0.796279149140136
2010,White,Connecticut,Northeast,0.97096387075566
2019,Hispanic,Connecticut,Northeast,1.03950133904763
2008,Asian,Connecticut,Northeast,1.08205330130345
2001,White,Connecticut,Northeast,0.979827906731342
2012,White,Connecticut,Northeast,0.98394036171137
2018,Hispanic,Connecticut,Northeast,1.02045216323067
2013,Asian,Connecticut,Northeast,1.16053922436882
2018,White,Connecticut,Northeast,0.967247373768435
2014,Asian,Connecticut,Northeast,1.17380508740685
2007,Native,Connecticut,Northeast,0.809961929391133
2009,Pacific,Connecticut,Northeast,0.924027740647367
2006,White,Connecticut,Northeast,0.979136662798214
1999,Asian,Connecticut,Northeast,1.00162542810192
2004,Black,Connecticut,Northeast,1.05773539464482
2007,Black,Connecticut,Northeast,1.15285742860705
2015,Hispanic,Connecticut,Northeast,1.04120206482991
2000,Black,Connecticut,Northeast,1.10726155979355
2019,Native,Connecticut,Northeast,0.937017068539708
2005,Hispanic,Connecticut,Northeast,0.924320476229731
2002,Asian,Connecticut,Northeast,1.10976987692181
2018,Pacific,Connecticut,Northeast,0.951291701123955
2009,Native,Connecticut,Northeast,0.830573872180043
2005,White,Connecticut,Northeast,0.975328564479066
2013,Black,Connecticut,Northeast,1.08332746293076
2010,Native,Connecticut,Northeast,0.895951048242191
